Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;Ilość;Dostępne do zamówienia (0 = Nie, 1 = Tak);Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...)
1;HP ProBook 465 G11 Ryzen 5-7535U/16GB/512/Win11;Laptopy i komputery/Laptopy biznesowe;2689.00;1;10;1;1;http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_1.jpg,http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_2.jpg
1;Lenovo ThinkPad E16 Ultra 5-225U/16GB/512/Win11P;Laptopy i komputery/Laptopy biznesowe;5199.00;1;5;1;1;http://localhost/import-images/lenovo-thinkpad-e16-ultra-5-225u-16gb-512-win11p/1353320_1.jpg,http://localhost/import-images/lenovo-thinkpad-e16-ultra-5-225u-16gb-512-win11p/1353320_2.jpg
1;ASUS ZenBook 14 UX3405CA Ultra 5-225H/16GB/512/Win11 OLED 120Hz;Laptopy i komputery/Laptopy biznesowe;4499.00;1;8;1;1;http://localhost/import-images/asus-zenbook-14-ux3405ca-ultra-5-225h-16gb-512-win11-oled-120hz/1309383_1.jpg,http://localhost/import-images/asus-zenbook-14-ux3405ca-ultra-5-225h-16gb-512-win11-oled-120hz/1309383_2.jpg
1;Lenovo ThinkPad E16 Ultra 5-225U/16GB/1TB/Win11P;Laptopy i komputery/Laptopy biznesowe;5449.00;1;9;1;1;http://localhost/import-images/lenovo-thinkpad-e16-ultra-5-225u-16gb-512-win11p/1353320_1.jpg,http://localhost/import-images/lenovo-thinkpad-e16-ultra-5-225u-16gb-512-win11p/1353320_2.jpg
1;Apple MacBook Pro M5/16GB/512/Mac OS Srebrny 10R GPU;Laptopy i komputery/Laptopy biznesowe;7499.00;1;9;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Apple MacBook Pro M5/24GB/1TB/Mac OS Gwiezdna Czerń 10R GPU;Laptopy i komputery/Laptopy biznesowe;9999.00;1;4;1;1;http://localhost/import-images/apple-macbook-pro-m5-24gb-1tb-mac-os-gwiezdna-czerń-10r-gpu/1370406_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-24gb-1tb-mac-os-gwiezdna-czerń-10r-gpu/1370406_2.jpg
1;Apple MacBook Pro M5/24GB/1TB/Mac OS Srebrny 10R GPU;Laptopy i komputery/Laptopy biznesowe;9999.00;1;8;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Apple MacBook Pro M5/32GB/1TB/Mac OS Srebrny 10R GPU;Laptopy i komputery/Laptopy biznesowe;10999.00;1;4;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Gigabyte GAMING A18 Ryzen 7 260/64GB/1TB/W11PX RTX5060 165Hz;Laptopy i komputery/Laptopy biznesowe;7449.00;1;5;1;1;http://localhost/import-images/gigabyte-gaming-a18-ryzen-7-260-64gb-1tb-w11px-rtx5060-165hz/1418094_1.jpg,http://localhost/import-images/gigabyte-gaming-a18-ryzen-7-260-64gb-1tb-w11px-rtx5060-165hz/1418094_2.jpg
1;HP ProBook 450 G10 i5-1334U/16GB/1TB/Win11P;Laptopy i komputery/Laptopy biznesowe;3549.00;1;2;1;1;http://localhost/import-images/hp-probook-450-g10-i5-1334u-16gb-1tb-win11p/1364858_1.jpg,http://localhost/import-images/hp-probook-450-g10-i5-1334u-16gb-1tb-win11p/1364858_2.jpg
1;Apple MacBook Pro M5/16GB/1TB/Mac OS Srebrny 10R GPU Nano;Laptopy i komputery/Laptopy biznesowe;9749.00;1;1;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Apple MacBook Pro M5/16GB/1TB/Mac OS Srebrny 10R GPU Nano;Laptopy i komputery/Laptopy biznesowe;10099.00;1;9;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Apple MacBook Pro M5/16GB/2TB/Mac OS Srebrny 10R GPU;Laptopy i komputery/Laptopy biznesowe;10999.00;1;10;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Apple MacBook Pro M5/16GB/2TB/Mac OS Srebrny 10R GPU;Laptopy i komputery/Laptopy biznesowe;11349.00;1;3;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Apple MacBook Pro M5/24GB/1TB/Mac OS Gwiezdna Czerń 10R GPU Nano;Laptopy i komputery/Laptopy biznesowe;10749.00;1;4;1;1;http://localhost/import-images/apple-macbook-pro-m5-24gb-1tb-mac-os-gwiezdna-czerń-10r-gpu/1370406_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-24gb-1tb-mac-os-gwiezdna-czerń-10r-gpu/1370406_2.jpg
1;Apple MacBook Pro M5/24GB/1TB/Mac OS Gwiezdna Czerń 10R GPU Nano;Laptopy i komputery/Laptopy biznesowe;11099.00;1;4;1;1;http://localhost/import-images/apple-macbook-pro-m5-24gb-1tb-mac-os-gwiezdna-czerń-10r-gpu/1370406_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-24gb-1tb-mac-os-gwiezdna-czerń-10r-gpu/1370406_2.jpg
1;Apple MacBook Pro M5/32GB/4TB/Mac OS Srebrny 10R GPU Nano;Laptopy i komputery/Laptopy biznesowe;16749.00;1;2;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Apple MacBook Pro M5/32GB/2TB/Mac OS Srebrny 10R GPU;Laptopy i komputery/Laptopy biznesowe;13349.00;1;1;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Apple MacBook Pro M5/32GB/4TB/Mac OS Srebrny 10R GPU;Laptopy i komputery/Laptopy biznesowe;16349.00;1;1;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Apple MacBook Pro M5/32GB/1TB/Mac OS Srebrny 10R GPU Nano;Laptopy i komputery/Laptopy biznesowe;12099.00;1;9;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Apple MacBook Pro M5/32GB/2TB/Mac OS Srebrny 10R GPU Nano;Laptopy i komputery/Laptopy biznesowe;14099.00;1;0;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Apple MacBook Pro M5/32GB/4TB/Mac OS Srebrny 10R GPU Nano;Laptopy i komputery/Laptopy biznesowe;17099.00;1;1;1;1;http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_1.jpg,http://localhost/import-images/apple-macbook-pro-m5-16gb-512-mac-os-srebrny-10r-gpu/1370407_2.jpg
1;Lenovo ThinkPad P16 i7-14700HX/64GB/1TB/Win11P RTX2000;Laptopy i komputery/Laptopy biznesowe;14999.00;1;3;1;1;http://localhost/import-images/lenovo-thinkpad-p16-i7-14700hx-64gb-1tb-win11p-rtx2000/1354775_1.jpg,http://localhost/import-images/lenovo-thinkpad-p16-i7-14700hx-64gb-1tb-win11p-rtx2000/1354775_2.jpg
1;ASUS ExpertBook B1503CVA i7-1355U/16GB/512/Win11P;Laptopy i komputery/Laptopy biznesowe;3599.00;1;0;1;1;http://localhost/import-images/asus-expertbook-b1503cva-i7-1355u-16gb-512-win11p/1345013_1.jpg,http://localhost/import-images/asus-expertbook-b1503cva-i7-1355u-16gb-512-win11p/1345013_2.jpg
1;Lenovo V17 i5-13420H/16GB/512/Win11P;Laptopy i komputery/Laptopy biznesowe;4199.00;1;9;1;1;http://localhost/import-images/lenovo-v17-i5-13420h-16gb-512-win11p/1292496_1.jpg,http://localhost/import-images/lenovo-v17-i5-13420h-16gb-512-win11p/1292496_2.jpg
1;HP ProBook 460 G11 Ultra 7-155U/32GB/512/Win11P;Laptopy i komputery/Laptopy biznesowe;4649.00;1;7;1;1;http://localhost/import-images/hp-probook-460-g11-ultra-7-155u-32gb-512-win11p/1327652_1.jpg,http://localhost/import-images/hp-probook-460-g11-ultra-7-155u-32gb-512-win11p/1327652_2.jpg
1;MSI Crosshair A16 HX Ryzen 9-7945HX/16GB/512/Win11PX RTX5060;Laptopy i komputery/Laptopy biznesowe;6149.00;1;0;1;1;http://localhost/import-images/msi-crosshair-a16-hx-ryzen-9-7945hx-16gb-512-win11px-rtx5060/1364923_1.jpg,http://localhost/import-images/msi-crosshair-a16-hx-ryzen-9-7945hx-16gb-512-win11px-rtx5060/1364923_2.jpg
1;Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Srebrny 20R GPU;Laptopy i komputery/Laptopy biznesowe;13499.00;1;5;1;1;http://localhost/import-images/apple-macbook-pro-m4-pro-48gb-1tb-mac-os-srebrny-20r-gpu/1292973_1.jpg
1;Lenovo ThinkPad X13 Ultra 5-125U/16GB/512/Win11P;Laptopy i komputery/Laptopy biznesowe;6599.00;1;8;1;1;http://localhost/import-images/lenovo-thinkpad-x13-ultra-5-125u-16gb-512-win11p/1263727_1.jpg,http://localhost/import-images/lenovo-thinkpad-x13-ultra-5-125u-16gb-512-win11p/1263727_2.jpg
1;HP EliteBook 660 G11 Ultra 5-125U/32GB/1TB/Win11P;Laptopy i komputery/Laptopy biznesowe;6149.00;1;1;1;1;http://localhost/import-images/hp-elitebook-660-g11-ultra-5-125u-32gb-1tb-win11p/1297862_1.jpg,http://localhost/import-images/hp-elitebook-660-g11-ultra-5-125u-32gb-1tb-win11p/1297862_2.jpg
1;ASUS ExpertBook 14 P5405CSA Ultra 5-226V/16GB/512/Win11 144Hz;Laptopy i komputery/Laptopy biznesowe;5199.00;1;5;1;1;http://localhost/import-images/asus-expertbook-14-p5405csa-ultra-5-226v-16gb-512-win11-144hz/1291300_1.jpg,http://localhost/import-images/asus-expertbook-14-p5405csa-ultra-5-226v-16gb-512-win11-144hz/1291300_2.jpg
1;Lenovo V17 i5-13420H/16GB/1TB/Win11P;Laptopy i komputery/Laptopy biznesowe;4499.00;1;9;1;1;http://localhost/import-images/lenovo-v17-i5-13420h-16gb-512-win11p/1292496_1.jpg,http://localhost/import-images/lenovo-v17-i5-13420h-16gb-512-win11p/1292496_2.jpg
1;Apple MacBook Pro M4 Max/48GB/1TB/Mac OS Srebrny 40R GPU;Laptopy i komputery/Laptopy biznesowe;18999.00;1;9;1;1;http://localhost/import-images/apple-macbook-pro-m4-max-48gb-1tb-mac-os-srebrny-40r-gpu/1292421_1.jpg
1;MSI Stealth A16 AI+ Ryzen AI 9 HX 370/32GB/2TB/Win11P RTX 5070TI;Laptopy i komputery/Laptopy biznesowe;11999.00;1;0;1;1;http://localhost/import-images/msi-stealth-a16-ai-ryzen-ai-9-hx-370-32gb-2tb-win11p-rtx-5070ti/1327964_1.jpg,http://localhost/import-images/msi-stealth-a16-ai-ryzen-ai-9-hx-370-32gb-2tb-win11p-rtx-5070ti/1327964_2.jpg
1;Apple MacBook Pro M4 Pro/24GB/2TB/Mac OS Gwiezdna Czerń 20R GPU;Laptopy i komputery/Laptopy biznesowe;12999.00;1;2;1;1;http://localhost/import-images/apple-macbook-pro-m4-pro-24gb-2tb-mac-os-gwiezdna-czerń-20r-gpu/1292974_1.jpg
1;Apple MacBook Pro M4 Pro/24GB/2TB/Mac OS Srebrny 20R GPU Nano;Laptopy i komputery/Laptopy biznesowe;13749.00;1;4;1;1;http://localhost/import-images/apple-macbook-pro-m4-pro-48gb-1tb-mac-os-srebrny-20r-gpu/1292973_1.jpg
1;Apple MacBook Pro M4 Pro/24GB/2TB/Mac OS Gwiezdna Czerń 20R Nano;Laptopy i komputery/Laptopy biznesowe;13749.00;1;1;1;1;http://localhost/import-images/apple-macbook-pro-m4-pro-24gb-2tb-mac-os-gwiezdna-czerń-20r-gpu/1292974_1.jpg
1;Apple MacBook Pro M4 Pro/24GB/1TB/Mac OS Srebrny 20R GPU;Laptopy i komputery/Laptopy biznesowe;12999.00;1;6;1;1;http://localhost/import-images/apple-macbook-pro-m4-max-48gb-1tb-mac-os-srebrny-40r-gpu/1292421_1.jpg
1;Apple MacBook Pro M4 Pro/48GB/1TB/Mac OS Gwiezdna Czerń 20R GPU;Laptopy i komputery/Laptopy biznesowe;15499.00;1;7;1;1;http://localhost/import-images/apple-macbook-pro-m4-pro-48gb-1tb-mac-os-gwiezdna-czerń-20r-gpu/1293436_1.jpg
1;Apple MacBook Pro M4 Pro/48GB/512/Mac OS Srebrny 20R GPU Nano;Laptopy i komputery/Laptopy biznesowe;14749.00;1;6;1;1;http://localhost/import-images/apple-macbook-pro-m4-max-48gb-1tb-mac-os-srebrny-40r-gpu/1292421_1.jpg
