Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;Ilość;Dostępne do zamówienia (0 = Nie, 1 = Tak);Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...)
1;HP ProBook 465 G11 Ryzen 5-7535U/16GB/512/Win11;Smartfony i smartwatche/Tablety;2689.00;1;8;1;1;http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_1.jpg,http://localhost/import-images/hp-probook-465-g11-ryzen-5-7535u-16gb-512-win11/1298239_2.jpg
1;Lenovo TAB 10'' 4GB/128GB/Android 14 WiFi;Smartfony i smartwatche/Tablety;549.00;1;8;1;1;http://localhost/import-images/lenovo-tab-10-4gb-128gb-android-14-wifi/1313287_1.jpg,http://localhost/import-images/lenovo-tab-10-4gb-128gb-android-14-wifi/1313287_2.jpg
1;"Apple iPad Pro 13"" M5 512GB Wi-Fi Gwiezdna Czerń";Smartfony i smartwatche/Tablety;7499.00;1;6;1;1;http://localhost/import-images/apple-ipad-pro-13-m5-512gb-wi-fi-gwiezdna-czerń/1370484_1.jpg,http://localhost/import-images/apple-ipad-pro-13-m5-512gb-wi-fi-gwiezdna-czerń/1370484_2.jpg
1;Xiaomi Redmi Pad 2 4/128GB Gray 90Hz;Smartfony i smartwatche/Tablety;629.00;1;3;1;1;http://localhost/import-images/xiaomi-redmi-pad-2-4-128gb-gray-90hz/1338103_1.jpg,http://localhost/import-images/xiaomi-redmi-pad-2-4-128gb-gray-90hz/1338103_2.jpg
1;Lenovo Idea Tab Plus 8GB/256GB/Android 15/Wi-Fi + PEN;Smartfony i smartwatche/Tablety;1199.00;1;2;1;1;http://localhost/import-images/lenovo-idea-tab-plus-8gb-256gb-android-15-wi-fi-pen/1363718_1.jpg,http://localhost/import-images/lenovo-idea-tab-plus-8gb-256gb-android-15-wi-fi-pen/1363718_2.jpg
1;Xiaomi Redmi Pad 2 Pro 8/256GB Gray;Smartfony i smartwatche/Tablety;1249.00;1;6;1;1;http://localhost/import-images/xiaomi-redmi-pad-2-pro-8-256gb-gray/1361247_1.jpg,http://localhost/import-images/xiaomi-redmi-pad-2-pro-8-256gb-gray/1361247_2.jpg
1;Xiaomi Redmi Pad 2 Pro 8/256GB Silver;Smartfony i smartwatche/Tablety;1249.00;1;1;1;1;http://localhost/import-images/xiaomi-redmi-pad-2-pro-8-256gb-silver/1361249_1.jpg,http://localhost/import-images/xiaomi-redmi-pad-2-pro-8-256gb-silver/1361249_2.jpg
1;"Apple iPad Air 13"" M3 256GB Wi-Fi Gwiezdna Szarość";Smartfony i smartwatche/Tablety;3999.00;1;6;1;1;http://localhost/import-images/apple-ipad-air-13-m3-256gb-wi-fi-gwiezdna-szarość/1321943_1.jpg
1;"Apple iPad Air 13"" M3 128GB Wi-Fi Gwiezdna Szarość";Smartfony i smartwatche/Tablety;3499.00;1;8;1;1;http://localhost/import-images/apple-ipad-air-13-m3-256gb-wi-fi-gwiezdna-szarość/1321943_1.jpg
1;"Apple iPad 11"" 11gen 256GB Wi-Fi Różowy";Smartfony i smartwatche/Tablety;2159.00;1;5;1;1;http://localhost/import-images/apple-ipad-11-11gen-256gb-wi-fi-różowy/1321874_1.jpg,http://localhost/import-images/apple-ipad-11-11gen-256gb-wi-fi-różowy/1321874_2.jpg
1;"Apple iPad Air 11"" M3 128GB Wi-Fi Księżycowa Poświata";Smartfony i smartwatche/Tablety;2421.00;1;4;1;1;http://localhost/import-images/apple-ipad-air-11-m3-128gb-wi-fi-księżycowa-poświata/1321893_1.jpg
1;Apple iPad Mini 7gen 128GB 5G Księżycowa Poświata;Smartfony i smartwatche/Tablety;3299.00;1;6;1;1;http://localhost/import-images/apple-ipad-mini-7gen-128gb-5g-księżycowa-poświata/1288379_1.jpg,http://localhost/import-images/apple-ipad-mini-7gen-128gb-5g-księżycowa-poświata/1288379_2.jpg
1;Apple iPad Mini 7gen 256GB 5G Fioletowy;Smartfony i smartwatche/Tablety;3699.00;1;3;1;1;http://localhost/import-images/apple-ipad-mini-7gen-256gb-5g-fioletowy/1288384_1.jpg,http://localhost/import-images/apple-ipad-mini-7gen-256gb-5g-fioletowy/1288384_2.jpg
1;"OUKITEL RT8 LTE 11"" 6/256GB 20000mAh Orange Rugged 90Hz";Smartfony i smartwatche/Tablety;1348.00;1;2;1;1;http://localhost/import-images/oukitel-rt8-lte-11-6-256gb-20000mah-orange-rugged-90hz/1316575_1.jpg,http://localhost/import-images/oukitel-rt8-lte-11-6-256gb-20000mah-orange-rugged-90hz/1316575_2.jpg
